Date,Close,Volume
2010-04-06,264.0664,97325904
2010-04-07,262.6888,121967504
2010-04-08,265.3801,131060800
2010-04-09,267.7171,106040304
2010-04-12,267.7051,90951488
2010-04-13,269.2574,110153504
2010-04-14,273.1775,129025504
2010-04-15,274.2379,121508800
2010-04-16,270.4938,171377904
2010-04-19,271.2003,119732896
2010-04-20,274.2509,112140496
2010-04-21,275.792,122070600
2010-04-22,280.3829,143904304
2010-04-23,281.6413,129871200
2010-04-26,283.2366,130966800
2010-04-27,275.0774,186244800
2010-04-28,274.2817,155821504
2010-04-29,279.9323,141315600
2010-04-30,274.2667,167293696
2010-05-03,279.9179,119912200
2010-05-04,271.711,158585792
2010-05-05,267.7984,173195600
2010-05-06,258.3542,264642800
2010-05-07,253.4412,275868608
2010-05-10,266.789,195862592
2010-05-11,266.7981,165234496
2010-05-12,270.3888,137468304
2010-05-13,264.6933,142932304
2010-05-14,260.2011,154907392
2010-05-17,261.8332,150271504
2010-05-18,257.057,163304192
2010-05-19,255.0715,177466096
2010-05-20,245.3577,217039392
2010-05-21,249.9162,246078496
2010-05-24,247.9654,130689400
2010-05-25,250.0555,195370304
2010-05-26,249.3947,196546000
2010-05-27,258.1798,142550208
2010-05-28,254.6774,140297600
2010-06-01,250.6552,136973696
2010-06-02,256.7107,140581904
2010-06-03,257.6494,128316200
2010-06-04,247.9002,162174896
2010-06-07,243.3442,149182704
2010-06-08,245.2433,165289200
2010-06-09,245.2357,153067504
2010-06-10,253.1971,132011904
2010-06-11,253.609,104954496
2010-06-14,253.984,110213800
2010-06-15,260.0643,135207808
2010-06-16,258.4464,123059296
2010-06-17,256.7891,129094096
2010-06-18,256.1409,189303504
2010-06-21,253.8552,112920896
2010-06-22,248.2139,134134000
2010-06-23,248.3049,127217696
2010-06-24,242.1685,154986096
2010-06-25,242.4826,229286096
2010-06-28,241.1788,109624704
2010-06-29,232.4447,189752896
2010-06-30,229.7118,180024400
2010-07-01,231.5517,195570400
2010-07-02,228.8874,126717200
2010-07-06,228.8417,152607392
2010-07-07,235.3337,151392800
2010-07-08,237.1017,151469200
2010-07-09,239.3616,100337904
2010-07-12,239.7599,101510704
2010-07-13,245.7304,125383200
2010-07-14,244.407,115163904
2010-07-15,245.2307,126422096
2010-07-16,236.5615,169624400
2010-07-19,238.7888,109983800
2010-07-20,242.3188,126944496
2010-07-21,237.9942,137424704
2010-07-22,245.2712,132341600
2010-07-23,248.4455,145748704
2010-07-26,252.1718,116774704
2010-07-27,249.1299,113976000
2010-07-28,247.3282,115302704
2010-07-29,245.8813,134515104
2010-07-30,247.4768,135933904
2010-08-02,252.6762,119568096
2010-08-03,249.2885,114915104
2010-08-04,253.0547,107851000
